1360
530,1051,1188;1149
530,1051,1188;731
1150,1047;784
1150,1047;856
1150,1047;731
473,219;366
473,219;655
366,655;473
366,655;219
996,1150;842
996,1150;1295
81,1150,1047;1000
81,1150,1047;731
81,1150,1047;1343
731,940;1243
731,940;1188
1243,1188;731
1243,1188;940
925;453
453;925
944,199;972
944,199;158
972,158;944
972,158;199
161;1051
1051;161
607;848
473,673;655
655;473
655;673
1161,866,911;1354
1161,866,911;1027
1161,866,911;1114
602,771,1150;842
602,771,1150;731
602,771,1150;877
602,771,1150;446
997;681
681;997
81,1150,263;731
81,1150,263;1343
81,1150,263;567
771,508;69
771,508;446
69,446;771
69,446;508
778;785
785;778
238;785
785;238
1266;508
508;1266
504,1150;731
504,1150;646
944,213;192
944,213;972
600,238;886
600,238;191
757;712
1218,771;1065
1218,771;446
1065,446;1218
1065,446;771
1008,161,731,28;1024
1008,161,731,28;691
1008,161,731,28;1150
164,477;882
164,477;675
164,477;1188
1101;225
1057;1016
1016;1057
214;647
647;214
36;249
249;36
154,1150;842
154,1150;214
957;1057
1057;957
1346,1155,5,47,699;1035
1346,1155,5,47,699;722
1346,1155,5,47,699;179
1346,1155,5,47,699;1119
1346,1155,5,47,699;415
376;673
673;376
161,731,533,1343;81
161,731,533,1343;747
161,731,533,1343;1150
355,766;523
355,766;1188
355,766;159
48,1322;304
48,1322;340
1000,738;1090
1000,738;731
1000,738;742
38,895;99
38,895;526
99,526;38
99,526;895
81,953,1150;1321
81,953,1150;731
81,953,1150;1343
681,771;544
681,771;731
681,771;446
29;327
327;29
29;1115
1115;29
650;840
840;650
291,731,1259;1150
291,731,1259;1359
219,1086;614
219,1086;366
614,366;219
614,366;1086
1278;1068
1068;1278
1112,708;41
1112,708;687
1112,708;1175
411,911;906
411,911;1114
107;9
161;1111
1111;161
675,195;859
675,195;607
899,749;483
899,749;565
483,565;899
483,565;749
721,895;526
721,895;463
526,463;721
526,463;895
800;842
800;974
454,1150;67
454,1150;731
731,6;1073
731,6;138
640;1304
1304;640
1116,247;1173
1116,247;582
600,691;1008
600,691;731
600,691;863
1008,731,863;600
1008,731,863;691
531,1150;731
531,1150;861
531,1150;374
1256,1050,899;608
1256,1050,899;834
1256,1050,899;1188
1256,1050,899;565
944,731,1063;947
944,731,1063;972
944,731,1063;687
947,972,687;944
947,972,687;731
947,972,687;1063
1083;924
924;1083
169,943;940
169,943;1199
940,1199;169
940,1199;943
584,139;1155
584,139;931
1155,931;584
1155,931;139
288;1351
1351;288
848,1327;886
848,1327;151
771,470,1150;842
771,470,1150;731
771,470,1150;436
771,470,1150;446
842,731,436,446;771
842,731,436,446;470
842,731,436,446;1150
200,771,1150;842
200,771,1150;731
200,771,1150;446
200,771,1150;246
394,1155,356;16
394,1155,356;621
394,1155,356;542
944,220;972
944,220;182
972,182;944
972,182;220
310,983;120
120;310
120;983
296;1150
1150;296
947,731;1232
947,731;138
825,731;138
825,731;1059
81,506,1150;720
81,506,1150;731
81,506,1150;1343
731,1054;1212
731,1054;1263
1212,1263;731
1212,1263;1054
446;743
743;446
771,1276,886;904
771,1276,886;922
771,1276,886;971
1112,746;657
1112,746;199
769,1133;802
769,1133;996
802,996;769
802,996;1133
161,627,1150;1152
161,627,1150;291
161,627,1150;91
288,771;452
288,771;446
452,446;288
452,446;771
309;1349
1349;309
1193,771;677
1193,771;446
677,446;1193
677,446;771
771,804;376
771,804;446
376,446;771
376,446;804
33,771;1163
33,771;446
1163,446;33
1163,446;771
322,771;418
322,771;446
418,446;322
418,446;771
162,1284;1122
162,1284;1330
80,771;1267
80,771;446
1267,446;80
1267,446;771
771,791;1316
771,791;446
1316,446;771
1316,446;791
1090,771;1290
1090,771;446
1290,446;1090
